Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document,source_file,doc_id,cmo_id,outcome
Net economic impact estimates are inherently uncertain and contested.,20,20_evaluation_net_costbenefit_better,"['evaluation', 'net', 'costbenefit', 'better', 'dataregular', 'auditability', 'ambiguity', 'clear', 'inherently', 'comparing']","['Management costs are significant and cost-benefit analysis is undermined, prompting recommendations for better advance planning and fewer targeted activities.', 'Evaluation exercises face ambiguity and may fail to establish clear net benefits.', 'National conclusions on net gains are controversial and improved data/regular reviews are needed for better evaluation.']",evaluation - net - costbenefit - better - dataregular - auditability - ambiguity - clear - inherently - comparing,0.8506451193019398,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_003,Net economic impact estimates are inherently uncertain and contested.
Cost-benefit evaluation is often impossible because the additional cost of offsets is unknown.,20,20_evaluation_net_costbenefit_better,"['evaluation', 'net', 'costbenefit', 'better', 'dataregular', 'auditability', 'ambiguity', 'clear', 'inherently', 'comparing']","['Management costs are significant and cost-benefit analysis is undermined, prompting recommendations for better advance planning and fewer targeted activities.', 'Evaluation exercises face ambiguity and may fail to establish clear net benefits.', 'National conclusions on net gains are controversial and improved data/regular reviews are needed for better evaluation.']",evaluation - net - costbenefit - better - dataregular - auditability - ambiguity - clear - inherently - comparing,1.0,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_004,Cost-benefit evaluation is often impossible because the additional cost of offsets is unknown.
Offset impacts must be assessed case-by-case and general claims about “offsets” are unreliable.,3,3_difficult_further_determine_calls,"['difficult', 'further', 'determine', 'calls', 'monitoring', 'offset', 'it', 'analysis', 'performance', 'expectations']","['Mandatory offsets are associated with a higher acquittal ratio, but reported compliance cannot be assumed to benefit defence or the economy without further analysis.', 'It becomes difficult to determine whether offset contracts meet expectations.', 'Offsets are described as failing to live up to their promise, and compliance/acquittal should not be interpreted as broad benefit without further analysis.']",difficult - further - determine - calls - monitoring - offset - it - analysis - performance - expectations,0.751899874933809,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_005,Offset impacts must be assessed case-by-case and general claims about “offsets” are unreliable.
High recorded fulfillment (contracts placed) does not demonstrate real additionality or reliable goal achievement.,17,17_not_official_achieved_fully,"['not', 'official', 'achieved', 'fully', 'fulfillment', 'government', 'was', 'high', 'suspensionresignation', 'found']","['Economic policy goals (employment and SME export support) are not satisfactorily achieved despite high nominal fulfillment rates.', 'The joint investigation found no unlawful conduct by government but pointed to improper behavior and conflicts of interest, followed by suspension/resignation of a senior official.', 'Government objectives were not fully achieved and the programme was not successful.']",not - official - achieved - fully - fulfillment - government - was - high - suspensionresignation - found,1.0,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_006,High recorded fulfillment (contracts placed) does not demonstrate real additionality or reliable goal achievement.
Economic policy goals (employment and SME export support) are not satisfactorily achieved despite high nominal fulfillment rates.,17,17_not_official_achieved_fully,"['not', 'official', 'achieved', 'fully', 'fulfillment', 'government', 'was', 'high', 'suspensionresignation', 'found']","['Economic policy goals (employment and SME export support) are not satisfactorily achieved despite high nominal fulfillment rates.', 'The joint investigation found no unlawful conduct by government but pointed to improper behavior and conflicts of interest, followed by suspension/resignation of a senior official.', 'Government objectives were not fully achieved and the programme was not successful.']",not - official - achieved - fully - fulfillment - government - was - high - suspensionresignation - found,1.0,True,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_007,Economic policy goals (employment and SME export support) are not satisfactorily achieved despite high nominal fulfillment rates.
"Management costs are significant and cost-benefit analysis is undermined, prompting recommendations for better advance planning and fewer targeted activities.",20,20_evaluation_net_costbenefit_better,"['evaluation', 'net', 'costbenefit', 'better', 'dataregular', 'auditability', 'ambiguity', 'clear', 'inherently', 'comparing']","['Management costs are significant and cost-benefit analysis is undermined, prompting recommendations for better advance planning and fewer targeted activities.', 'Evaluation exercises face ambiguity and may fail to establish clear net benefits.', 'National conclusions on net gains are controversial and improved data/regular reviews are needed for better evaluation.']",evaluation - net - costbenefit - better - dataregular - auditability - ambiguity - clear - inherently - comparing,0.8096824713035294,True,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_008,"Management costs are significant and cost-benefit analysis is undermined, prompting recommendations for better advance planning and fewer targeted activities."
Auditors question whether 100% offsets are expedient and recommend more limited compensation and targeted activities.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_009,Auditors question whether 100% offsets are expedient and recommend more limited compensation and targeted activities.
Different evaluators reach seemingly contradictory conclusions about offset success depending on metric and time horizon.,3,3_difficult_further_determine_calls,"['difficult', 'further', 'determine', 'calls', 'monitoring', 'offset', 'it', 'analysis', 'performance', 'expectations']","['Mandatory offsets are associated with a higher acquittal ratio, but reported compliance cannot be assumed to benefit defence or the economy without further analysis.', 'It becomes difficult to determine whether offset contracts meet expectations.', 'Offsets are described as failing to live up to their promise, and compliance/acquittal should not be interpreted as broad benefit without further analysis.']",difficult - further - determine - calls - monitoring - offset - it - analysis - performance - expectations,1.0,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_010,Different evaluators reach seemingly contradictory conclusions about offset success depending on metric and time horizon.
Offsets are used to mitigate expected employment cuts associated with a smaller domestic fighter program.,11,11_import_used_secure_program,"['import', 'used', 'secure', 'program', 'percent', 'access', 'requires', 'supplies', 'tech', 'anchored']","['The UK secures meaningful industrial participation (jobs, exports, potential tech access) tied to a large global program rather than a one-off offset package.', 'Offset activity is structured around meeting a quantified imported-content obligation rather than being purely ad hoc or discretionary.', 'Offsets compliance is anchored to 30 percent of import content (negotiable) and requires at least 50 percent local value-added for ANZ-sourced supplies.']",import - used - secure - program - percent - access - requires - supplies - tech - anchored,0.824048715302925,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_011,Offsets are used to mitigate expected employment cuts associated with a smaller domestic fighter program.
"Formal fulfillment may look satisfactory while effects and goal achievement remain uncertain, especially for indirect offsets.",8,8_obligations_commitments_accounting_offset,"['obligations', 'commitments', 'accounting', 'offset', 'credits', 'realized', 'effective', 'value', 'for', 'become']","['The effective burden of offset obligations is reduced for the contractor in qualifying sectors.', 'Offset accounting can produce credit values that are not cost-based, increasing scope for inflated claims or disputes over value.', 'Offset obligations become more enforceable, with penalties for non-delivery and the ability to bank credits for future obligations.']",obligations - commitments - accounting - offset - credits - realized - effective - value - for - become,1.0,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_012,"Formal fulfillment may look satisfactory while effects and goal achievement remain uncertain, especially for indirect offsets."
Offset administration weaknesses undermine long-term goals and create risks of higher procurement costs.,0,0_procurement_offset_costs_influence,"['procurement', 'offset', 'costs', 'influence', 'are', 'packages', 'proposals', 'procurements', 'quantities', 'bundling']","['Mandatory bundling can prevent optimal outcomes and increase total costs relative to precise, negotiated bundling (or separate sourcing).', 'Best-endeavors and mandatory offsets are characterized as inefficient and poorly targeted, and the chapter argues capability requirements are better negotiated directly within procurement contracts.', 'Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.']",procurement - offset - costs - influence - are - packages - proposals - procurements - quantities - bundling,0.6315250056046319,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_013,Offset administration weaknesses undermine long-term goals and create risks of higher procurement costs.
Auditors recommend clearer policy and administration to improve goal achievement and auditability.,20,20_evaluation_net_costbenefit_better,"['evaluation', 'net', 'costbenefit', 'better', 'dataregular', 'auditability', 'ambiguity', 'clear', 'inherently', 'comparing']","['Management costs are significant and cost-benefit analysis is undermined, prompting recommendations for better advance planning and fewer targeted activities.', 'Evaluation exercises face ambiguity and may fail to establish clear net benefits.', 'National conclusions on net gains are controversial and improved data/regular reviews are needed for better evaluation.']",evaluation - net - costbenefit - better - dataregular - auditability - ambiguity - clear - inherently - comparing,0.8127201294060045,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_014,Auditors recommend clearer policy and administration to improve goal achievement and auditability.
Sweden’s early policy design favored indirect offsets to avoid procurement inflation driven by employment maintenance incentives.,0,0_procurement_offset_costs_influence,"['procurement', 'offset', 'costs', 'influence', 'are', 'packages', 'proposals', 'procurements', 'quantities', 'bundling']","['Mandatory bundling can prevent optimal outcomes and increase total costs relative to precise, negotiated bundling (or separate sourcing).', 'Best-endeavors and mandatory offsets are characterized as inefficient and poorly targeted, and the chapter argues capability requirements are better negotiated directly within procurement contracts.', 'Offsets influence supplier selection (and at most marginal quantities) rather than fundamentally driving procurement need or type.']",procurement - offset - costs - influence - are - packages - proposals - procurements - quantities - bundling,1.0,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_015,Sweden’s early policy design favored indirect offsets to avoid procurement inflation driven by employment maintenance incentives.
Offset demands are redirected toward defense-industrial capability and maintenance/technology competence.,22,22_defenseindustrial_defense_trade_toward,"['defenseindustrial', 'defense', 'trade', 'toward', 'reemerge', 'mechanism', 'steered', 'narrower', 'prominent', 'features']","['Offsets/DIP are positioned as the mechanism to sustain a narrower, niche-oriented defence industrial base with strategic support functions.', 'Offsets and offset-like industrial compensation features remain persistent in defense contracts with these countries.', 'Offsets are steered toward defense-industrial participation and technology transfer rather than purely civilian trade.']",defenseindustrial - defense - trade - toward - reemerge - mechanism - steered - narrower - prominent - features,0.3268355488799597,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_016,Offset demands are redirected toward defense-industrial capability and maintenance/technology competence.
Domestic maintenance and modification competence is strengthened for the imported system.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_017,Domestic maintenance and modification competence is strengthened for the imported system.
Broader defense technological competence is supported beyond the specific imported system.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,10-evaluating-defense-offsets-the-experience-in-finland-and-sweden.pdf,10_evaluating_defense_offsets_the_experience_in_finland_and_sweden_pdf__cmo_018,Broader defense technological competence is supported beyond the specific imported system.
Belgium’s defense industrial base is maintained and technical prowess is improved.,7,7_cooperation_defenceindustrial_improved_defense,"['cooperation', 'defenceindustrial', 'improved', 'defense', 'selfreliance', 'maintained', 'defence', 'base', 'indigenous', 'partly']","['Interdependence drives greater defence cooperation.', 'Belgium’s defense industrial base is maintained and technical prowess is improved.', 'Germany “grew” an indigenous defense industry unusually successfully, partly due to allied willingness tied to rearmament importance.']",cooperation - defenceindustrial - improved - defense - selfreliance - maintained - defence - base - indigenous - partly,1.0,True,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_001,Belgium’s defense industrial base is maintained and technical prowess is improved.
Economic activity increases in non-military sectors (intended effect).,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_002,Economic activity increases in non-military sectors (intended effect).
Indirect offsets deliver limited additional activity and marginal macroeconomic effects.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_003,Indirect offsets deliver limited additional activity and marginal macroeconomic effects.
Belgium sustains aircraft/engine manufacturing capabilities and acquires advanced technological know-how.,14,14_aircraft_aerospace_korea_capability,"['aircraft', 'aerospace', 'korea', 'capability', 'production', 'advanced', 'improves', 'military', 'producing', 'platform']","['Embraer survives the military downturn by shifting to civil aviation, sustaining aerospace capability despite reduced military sales.', 'Korea improves access to foreign capabilities and streamlines domestic aerospace production.', 'IPTN increases domestic content in aircraft production and gains experience producing components for advanced foreign aircraft.']",aircraft - aerospace - korea - capability - production - advanced - improves - military - producing - platform,1.0,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_004,Belgium sustains aircraft/engine manufacturing capabilities and acquires advanced technological know-how.
Defense purchases become easier to approve and justify domestically.,13,13_defense_costly_procurement_civilian,"['defense', 'costly', 'procurement', 'civilian', 'public', 'welfare', 'increases', 'military', 'sizable', 'community']","['Belgium pays a sizable procurement penalty that crowds out other defense budget categories.', 'Public acceptance of costly defense procurement increases, even if development benefits are overstated.', 'Social welfare can be reduced unless military-industry returns exceed those of foregone civilian uses.']",defense - costly - procurement - civilian - public - welfare - increases - military - sizable - community,1.0,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_005,Defense purchases become easier to approve and justify domestically.
Purchasers pay higher prices than under competition and overall welfare declines.,2,2_welfare_price_discounts_bargaining,"['welfare', 'price', 'discounts', 'bargaining', 'relative', 'more', 'foregone', 'settings', 'schemes', 'reduced']","['Buyers face reduced scope for price discounts.', 'Welfare falls relative to using market exchange (and price discounts when government has bargaining power).', 'Welfare is reduced because foregone price discounts exceed the benefits of offsets in these settings.']",welfare - price - discounts - bargaining - relative - more - foregone - settings - schemes - reduced,1.0,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_006,Purchasers pay higher prices than under competition and overall welfare declines.
Idle capital and inefficient production capacity result.,9,9_investments_inefficient_restructuring_distorted,"['investments', 'inefficient', 'restructuring', 'distorted', 'capital', 'capacity', 'competition', 'allocation', 'idle', 'impeded']","['The industry grows rapidly in size and capacity, but risks misallocation and poor product-market fit.', 'Idle capital and inefficient production capacity result.', 'Competition is criticized as wasteful and associated with higher prices and difficulty for domestic suppliers to make long-term capacity investments.']",investments - inefficient - restructuring - distorted - capital - capacity - competition - allocation - idle - impeded,1.0,True,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_007,Idle capital and inefficient production capacity result.
Long-run government investment policy becomes difficult and capability development is uneven.,12,12_employment_created_creation_limited,"['employment', 'created', 'creation', 'limited', 'is', 'local', 'hegemony', 'channeled', 'captured', '90']","['Jobs may be created but with high fiscal burden and uncertain net employment effects over time.', 'Around 90 percent of DIP business is channeled to Gauteng, with minimal benefits for peripheral regions.', 'Gauteng’s hegemony is reinforced and employment creation is limited, especially in the periphery.']",employment - created - creation - limited - is - local - hegemony - channeled - captured - 90,0.6775800523648079,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_008,Long-run government investment policy becomes difficult and capability development is uneven.
Offset-driven gains are short-term and provide little long-run industrial strengthening.,-1,-1_and_offsets_is_the,"['and', 'offsets', 'is', 'the', 'benefits', 'offset', 'on', 'of', 'technology', 'to']","['Foreign producers face more stringent offset demands and Korea gains leverage in negotiating industrial and technology benefits.', 'A substantial share of promised benefits is routed through indirect offsets and inward investment rather than direct defence-related participation.', 'Technology transfers are limited and Taiwan remains dependent on foreign technology and imports.']",and - offsets - is - the - benefits - offset - on - of - technology - to,0.0,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_009,Offset-driven gains are short-term and provide little long-run industrial strengthening.
Industrial restructuring is inhibited and inefficiencies persist.,9,9_investments_inefficient_restructuring_distorted,"['investments', 'inefficient', 'restructuring', 'distorted', 'capital', 'capacity', 'competition', 'allocation', 'idle', 'impeded']","['The industry grows rapidly in size and capacity, but risks misallocation and poor product-market fit.', 'Idle capital and inefficient production capacity result.', 'Competition is criticized as wasteful and associated with higher prices and difficulty for domestic suppliers to make long-term capacity investments.']",investments - inefficient - restructuring - distorted - capital - capacity - competition - allocation - idle - impeded,1.0,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_010,Industrial restructuring is inhibited and inefficiencies persist.
The buyer misses opportunities to share in R&D and deepen technological participation.,28,28_transfer_technology_fail_deliver,"['transfer', 'technology', 'fail', 'deliver', 'largemarket', 'deepen', 'fails', 'unclear', 'involving', 'desired']","['Responsibility for technology transfer is unclear, weakening TAC outcomes.', 'Buyback arrangements associated with technology transfer fail to deliver desired results.', 'Mandatory schemes can fail to deliver intended technology transfer and instead increase costs and administrative burden.']",transfer - technology - fail - deliver - largemarket - deepen - fails - unclear - involving - desired,1.0,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_011,The buyer misses opportunities to share in R&D and deepen technological participation.
The effective additionality of offset obligations is reduced.,8,8_obligations_commitments_accounting_offset,"['obligations', 'commitments', 'accounting', 'offset', 'credits', 'realized', 'effective', 'value', 'for', 'become']","['The effective burden of offset obligations is reduced for the contractor in qualifying sectors.', 'Offset accounting can produce credit values that are not cost-based, increasing scope for inflated claims or disputes over value.', 'Offset obligations become more enforceable, with penalties for non-delivery and the ability to bank credits for future obligations.']",obligations - commitments - accounting - offset - credits - realized - effective - value - for - become,1.0,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_012,The effective additionality of offset obligations is reduced.
Belgium pays a sizable procurement penalty that crowds out other defense budget categories.,13,13_defense_costly_procurement_civilian,"['defense', 'costly', 'procurement', 'civilian', 'public', 'welfare', 'increases', 'military', 'sizable', 'community']","['Belgium pays a sizable procurement penalty that crowds out other defense budget categories.', 'Public acceptance of costly defense procurement increases, even if development benefits are overstated.', 'Social welfare can be reduced unless military-industry returns exceed those of foregone civilian uses.']",defense - costly - procurement - civilian - public - welfare - increases - military - sizable - community,0.9737531837676606,True,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_013,Belgium pays a sizable procurement penalty that crowds out other defense budget categories.
Offset implementation becomes politically contested and less strategically coherent.,16,16_implementation_continuity_challenging_tighter,"['implementation', 'continuity', 'challenging', 'tighter', 'offsetstyle', 'change', 'coherent', 'concession', 'perception', 'control']","['Offsets can become an inappropriate policy instrument relative to direct reforms, with likely inefficiency.', 'National offset strategies diverge in approach (perception more than results) and in institutional implementation.', 'Organized labor resists direct offsets and pressures governments for tighter controls.']",implementation - continuity - challenging - tighter - offsetstyle - change - coherent - concession - perception - control,0.7954460821002001,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_014,Offset implementation becomes politically contested and less strategically coherent.
Domestic firms become more competitive and better positioned for participation in a pan-European defense market.,21,21_defense_industry_itself_singapores,"['defense', 'industry', 'itself', 'singapores', 'nonviable', 'militaryindustrial', 'cartellike', 'below', 'defenserelated', 'revenue']","['Sustaining defense-related industry capabilities is difficult even when offsets fund initial investments.', 'Japan’s defense industry operates far below capacity and struggles to sustain itself.', 'Singapore’s defense industry becomes more financially resilient, with substantial revenue from non-military work.']",defense - industry - itself - singapores - nonviable - militaryindustrial - cartellike - below - defenserelated - revenue,0.9235374069187644,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_015,Domestic firms become more competitive and better positioned for participation in a pan-European defense market.
Industry restructuring and market integration are delayed or distorted.,9,9_investments_inefficient_restructuring_distorted,"['investments', 'inefficient', 'restructuring', 'distorted', 'capital', 'capacity', 'competition', 'allocation', 'idle', 'impeded']","['The industry grows rapidly in size and capacity, but risks misallocation and poor product-market fit.', 'Idle capital and inefficient production capacity result.', 'Competition is criticized as wasteful and associated with higher prices and difficulty for domestic suppliers to make long-term capacity investments.']",investments - inefficient - restructuring - distorted - capital - capacity - competition - allocation - idle - impeded,0.5879081347322684,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_016,Industry restructuring and market integration are delayed or distorted.
Belgium places substantial arms orders without offset requirements while a new policy framework is debated.,23,23_regional_chapter_not_argues,"['regional', 'chapter', 'not', 'argues', 'did', 'substantially', 'has', 'have', 'claim', 'tools']","['The chapter concludes government cannot claim South Africa benefitted from the arms offset route and suggests alternative investment priorities for mass employment creation.', 'The chapter argues a genuine potential linkage of offsets to steel and shipbuilding in KwaZulu Natal did not move forward.', 'The chapter argues linking offsets to Coega has not been successful and has not contributed substantially to provincial betterment in the short term.']",regional - chapter - not - argues - did - substantially - has - have - claim - tools,0.5294128671455564,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_017,Belgium places substantial arms orders without offset requirements while a new policy framework is debated.
Short-run strengthening is accompanied by inhibited international cooperation and a weaker long-run defense-industrial position.,7,7_cooperation_defenceindustrial_improved_defense,"['cooperation', 'defenceindustrial', 'improved', 'defense', 'selfreliance', 'maintained', 'defence', 'base', 'indigenous', 'partly']","['Interdependence drives greater defence cooperation.', 'Belgium’s defense industrial base is maintained and technical prowess is improved.', 'Germany “grew” an indigenous defense industry unusually successfully, partly due to allied willingness tied to rearmament importance.']",cooperation - defenceindustrial - improved - defense - selfreliance - maintained - defence - base - indigenous - partly,0.9414509750678807,False,cmo/arms_trade_offsets_chapters.yml,11-offsets-in-belgium-between-scylla-and-charybdis.pdf,11_offsets_in_belgium_between_scylla_and_charybdis_pdf__cmo_018,Short-run strengthening is accompanied by inhibited international cooperation and a weaker long-run defense-industrial position.
Poland engages readily in modern defense offset deals and can negotiate within a “smoke-and-mirrors” environment.,25,25_poland_content_services_plus,"['poland', 'content', 'services', 'plus', 'standards', 'smokeandmirrors', 'engages', 'structures', 'takes', 'traditional']","['Vehicle production is established in Poland and local content increases substantially over time.', 'Poland engages readily in modern defense offset deals and can negotiate within a “smoke-and-mirrors” environment.', 'Poland adopts NATO procurement standards and uses offsets to assist development of domestic industry alongside modernization.']",poland - content - services - plus - standards - smokeandmirrors - engages - structures - takes - traditional,0.9273074013246312,True,cmo/arms_trade_offsets_chapters.yml,12-the-defense-industry-in-poland-an-offsets-based-revival.pdf,12_the_defense_industry_in_poland_an_offsets_based_revival_pdf__cmo_001,Poland engages readily in modern defense offset deals and can negotiate within a “smoke-and-mirrors” environment.
Poland adopts NATO procurement standards and uses offsets to assist development of domestic industry alongside modernization.,25,25_poland_content_services_plus,"['poland', 'content', 'services', 'plus', 'standards', 'smokeandmirrors', 'engages', 'structures', 'takes', 'traditional']","['Vehicle production is established in Poland and local content increases substantially over time.', 'Poland engages readily in modern defense offset deals and can negotiate within a “smoke-and-mirrors” environment.', 'Poland adopts NATO procurement standards and uses offsets to assist development of domestic industry alongside modernization.']",poland - content - services - plus - standards - smokeandmirrors - engages - structures - takes - traditional,1.0,True,cmo/arms_trade_offsets_chapters.yml,12-the-defense-industry-in-poland-an-offsets-based-revival.pdf,12_the_defense_industry_in_poland_an_offsets_based_revival_pdf__cmo_002,Poland adopts NATO procurement standards and uses offsets to assist development of domestic industry alongside modernization.
