"pair_id","theme_a_id","theme_a_label","theme_a_explanation","theme_b_id","theme_b_label","theme_b_explanation"
"P118","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer."
"P119","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM10","Offsets as supplier differentiator","When core capability requirements are fixed, offset offers differentiate suppliers and influence selection."
"P120","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM11","Domestic industry influence on offsets","Domestic arms-industry influence shapes procurement demands, pushing governments to require direct offsets that effectively subsidize local military industry."
"P121","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM12","Development-oriented indirect offset design","Specifying development-oriented indirect offsets and emphasizing transparency increases the likelihood that promised activities are realized and development-relevant."
"P122","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM13","Offsets shift competition to bundled content","Requiring offset packages redirects competition away from price/quality and toward bundled content, even when that content is unrelated to the procured item."
"P123","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM14","Rent extraction via offset requirements","Offset policy compels suppliers to transfer economic activity domestically, extracting rents from the price margin and enabling governments to pursue multiple objectives through procurement."
"P124","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM15","Flexibility reduces mandate diseconomies","Rigid, one-size mandates constrain negotiation and force offsets where market exchange would be superior, creating diseconomies of scale and scope; variable policies increase flexibility and reduce these losses."
"P125","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM16","Offsets justified in high-hazard exchanges","Offsets can substitute for poorly functioning markets in high-hazard exchanges and yield reputational or capability gains; imposing offsets in low-hazard contexts or misaligned with seller capabilities creates opportunity costs and raises costs."
"P126","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM17","Administrative burden and rent-seeking","Offset regimes can generate administrative burdens and rent-seeking, including proposal overload, superficial evaluation criteria, and discretionary behaviour that raises costs without improving transfer outcomes."
"P127","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM18","Objective ambiguity undermines evaluation","Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and determine net beneficiaries of mandated offsets."
"P128","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM19","Supplier coaching and reputational certification","Suppliers teach efficient routines to control costs and quality, and successful completion provides reputational certification that lowers domestic firms’ market-entry transaction costs."
"P129","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM20","Alliance incentives via offset waivers","Governments use bargaining power or offset waivers to encourage alliances, boosting investment and reputational capital while preserving competitive selection."
"P130","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM21","Market access conditioned on reciprocity","Requiring reciprocal activity as a condition of market access imposes trade-restricting requirements on exporters."
"P131","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM22","Offsets reveal local supplier capability","Local content requirements compel primes to search for and engage domestic suppliers, reducing information imperfections about local capability."
"P132","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM23","Sourcing persists only when viable","Offset-induced sourcing ends when obligations expire unless continued local production is economically worthwhile, so effects may be temporary."
"P133","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM24","Indirect offsets stimulate targeted exports","Indirect offsets that require exporter purchases act like sector-specific price adjustments, stimulating exports in targeted sectors."
"P134","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM25","Opacity enables price discrimination","Lower visibility of offset-related pricing permits price discrimination or dumping in world markets that would be harder under transparent pricing."
"P135","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM26","Buyback hostage aligns incentives","Buyback obligations make sellers responsible for absorbing output, aligning incentives to avoid transferring obsolete technology that would undermine buyback viability."
"P136","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM27","Depreciation drives tech licensing","As technologies depreciate, sellers are incentivized to license them via offsets to monetise value before it declines further."
"P137","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM28","Exporter networks reduce market entry costs","Large exporters’ established distribution networks lower market-penetration costs for buyer-country products compared to what domestic firms could achieve alone."
"P138","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM29","Bundled contracting reduces transaction costs","Offsets can be embedded in complex bundles that lower transaction costs and reallocate rents under market imperfections."
"P139","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM30","Second-best offsets distort allocation","Using offsets as substitutes for broader macro or trade reforms distorts resource allocation and locks in inefficient sector-specific fixes."
"P140","PM5","External finance expands resource pool","When funding comes from external sources, offsets inject new resources rather than reallocating domestic capital, easing the net drain of purchases.","PM31","Labour rents drive opposition to offsets","Anticipated losses of employment and labour-market rents motivate unions to oppose offsets and seek regulation that limits production shifting."
"P141","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it."
"P142","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs."
"P143","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer."
"P144","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM10","Offsets as supplier differentiator","When core capability requirements are fixed, offset offers differentiate suppliers and influence selection."
"P145","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM11","Domestic industry influence on offsets","Domestic arms-industry influence shapes procurement demands, pushing governments to require direct offsets that effectively subsidize local military industry."
"P146","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM12","Development-oriented indirect offset design","Specifying development-oriented indirect offsets and emphasizing transparency increases the likelihood that promised activities are realized and development-relevant."
"P147","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM13","Offsets shift competition to bundled content","Requiring offset packages redirects competition away from price/quality and toward bundled content, even when that content is unrelated to the procured item."
"P148","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM14","Rent extraction via offset requirements","Offset policy compels suppliers to transfer economic activity domestically, extracting rents from the price margin and enabling governments to pursue multiple objectives through procurement."
"P149","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM15","Flexibility reduces mandate diseconomies","Rigid, one-size mandates constrain negotiation and force offsets where market exchange would be superior, creating diseconomies of scale and scope; variable policies increase flexibility and reduce these losses."
"P150","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM16","Offsets justified in high-hazard exchanges","Offsets can substitute for poorly functioning markets in high-hazard exchanges and yield reputational or capability gains; imposing offsets in low-hazard contexts or misaligned with seller capabilities creates opportunity costs and raises costs."
"P151","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM17","Administrative burden and rent-seeking","Offset regimes can generate administrative burdens and rent-seeking, including proposal overload, superficial evaluation criteria, and discretionary behaviour that raises costs without improving transfer outcomes."
"P152","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM18","Objective ambiguity undermines evaluation","Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and determine net beneficiaries of mandated offsets."
"P153","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM19","Supplier coaching and reputational certification","Suppliers teach efficient routines to control costs and quality, and successful completion provides reputational certification that lowers domestic firms’ market-entry transaction costs."
"P154","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM20","Alliance incentives via offset waivers","Governments use bargaining power or offset waivers to encourage alliances, boosting investment and reputational capital while preserving competitive selection."
"P155","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM21","Market access conditioned on reciprocity","Requiring reciprocal activity as a condition of market access imposes trade-restricting requirements on exporters."
"P156","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM22","Offsets reveal local supplier capability","Local content requirements compel primes to search for and engage domestic suppliers, reducing information imperfections about local capability."
"P157","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM23","Sourcing persists only when viable","Offset-induced sourcing ends when obligations expire unless continued local production is economically worthwhile, so effects may be temporary."
"P158","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM24","Indirect offsets stimulate targeted exports","Indirect offsets that require exporter purchases act like sector-specific price adjustments, stimulating exports in targeted sectors."
"P159","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM25","Opacity enables price discrimination","Lower visibility of offset-related pricing permits price discrimination or dumping in world markets that would be harder under transparent pricing."
"P160","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM26","Buyback hostage aligns incentives","Buyback obligations make sellers responsible for absorbing output, aligning incentives to avoid transferring obsolete technology that would undermine buyback viability."
"P161","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM27","Depreciation drives tech licensing","As technologies depreciate, sellers are incentivized to license them via offsets to monetise value before it declines further."
"P162","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM28","Exporter networks reduce market entry costs","Large exporters’ established distribution networks lower market-penetration costs for buyer-country products compared to what domestic firms could achieve alone."
"P163","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM29","Bundled contracting reduces transaction costs","Offsets can be embedded in complex bundles that lower transaction costs and reallocate rents under market imperfections."
"P164","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM30","Second-best offsets distort allocation","Using offsets as substitutes for broader macro or trade reforms distorts resource allocation and locks in inefficient sector-specific fixes."
"P165","PM6","Additional trade yields net gains","Counterpurchase that generates genuinely additional exports creates new revenue streams and supports employment.","PM31","Labour rents drive opposition to offsets","Anticipated losses of employment and labour-market rents motivate unions to oppose offsets and seek regulation that limits production shifting."
"P166","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs."
"P167","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer."
"P168","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM10","Offsets as supplier differentiator","When core capability requirements are fixed, offset offers differentiate suppliers and influence selection."
"P169","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM11","Domestic industry influence on offsets","Domestic arms-industry influence shapes procurement demands, pushing governments to require direct offsets that effectively subsidize local military industry."
"P170","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM12","Development-oriented indirect offset design","Specifying development-oriented indirect offsets and emphasizing transparency increases the likelihood that promised activities are realized and development-relevant."
"P171","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM13","Offsets shift competition to bundled content","Requiring offset packages redirects competition away from price/quality and toward bundled content, even when that content is unrelated to the procured item."
"P172","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM14","Rent extraction via offset requirements","Offset policy compels suppliers to transfer economic activity domestically, extracting rents from the price margin and enabling governments to pursue multiple objectives through procurement."
"P173","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM15","Flexibility reduces mandate diseconomies","Rigid, one-size mandates constrain negotiation and force offsets where market exchange would be superior, creating diseconomies of scale and scope; variable policies increase flexibility and reduce these losses."
"P174","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM16","Offsets justified in high-hazard exchanges","Offsets can substitute for poorly functioning markets in high-hazard exchanges and yield reputational or capability gains; imposing offsets in low-hazard contexts or misaligned with seller capabilities creates opportunity costs and raises costs."
"P175","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM17","Administrative burden and rent-seeking","Offset regimes can generate administrative burdens and rent-seeking, including proposal overload, superficial evaluation criteria, and discretionary behaviour that raises costs without improving transfer outcomes."
"P176","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM18","Objective ambiguity undermines evaluation","Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and determine net beneficiaries of mandated offsets."
"P177","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM19","Supplier coaching and reputational certification","Suppliers teach efficient routines to control costs and quality, and successful completion provides reputational certification that lowers domestic firms’ market-entry transaction costs."
"P178","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM20","Alliance incentives via offset waivers","Governments use bargaining power or offset waivers to encourage alliances, boosting investment and reputational capital while preserving competitive selection."
"P179","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM21","Market access conditioned on reciprocity","Requiring reciprocal activity as a condition of market access imposes trade-restricting requirements on exporters."
"P180","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM22","Offsets reveal local supplier capability","Local content requirements compel primes to search for and engage domestic suppliers, reducing information imperfections about local capability."
"P181","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM23","Sourcing persists only when viable","Offset-induced sourcing ends when obligations expire unless continued local production is economically worthwhile, so effects may be temporary."
"P182","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM24","Indirect offsets stimulate targeted exports","Indirect offsets that require exporter purchases act like sector-specific price adjustments, stimulating exports in targeted sectors."
"P183","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM25","Opacity enables price discrimination","Lower visibility of offset-related pricing permits price discrimination or dumping in world markets that would be harder under transparent pricing."
"P184","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM26","Buyback hostage aligns incentives","Buyback obligations make sellers responsible for absorbing output, aligning incentives to avoid transferring obsolete technology that would undermine buyback viability."
"P185","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM27","Depreciation drives tech licensing","As technologies depreciate, sellers are incentivized to license them via offsets to monetise value before it declines further."
"P186","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM28","Exporter networks reduce market entry costs","Large exporters’ established distribution networks lower market-penetration costs for buyer-country products compared to what domestic firms could achieve alone."
"P187","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM29","Bundled contracting reduces transaction costs","Offsets can be embedded in complex bundles that lower transaction costs and reallocate rents under market imperfections."
"P188","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM30","Second-best offsets distort allocation","Using offsets as substitutes for broader macro or trade reforms distorts resource allocation and locks in inefficient sector-specific fixes."
"P189","PM7","Training expands local skill supply","Mandated employer-funded training expands the local skill base, increasing labour supply instead of depleting it.","PM31","Labour rents drive opposition to offsets","Anticipated losses of employment and labour-market rents motivate unions to oppose offsets and seek regulation that limits production shifting."
"P190","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer."
"P191","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM10","Offsets as supplier differentiator","When core capability requirements are fixed, offset offers differentiate suppliers and influence selection."
"P192","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM11","Domestic industry influence on offsets","Domestic arms-industry influence shapes procurement demands, pushing governments to require direct offsets that effectively subsidize local military industry."
"P193","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM12","Development-oriented indirect offset design","Specifying development-oriented indirect offsets and emphasizing transparency increases the likelihood that promised activities are realized and development-relevant."
"P194","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM13","Offsets shift competition to bundled content","Requiring offset packages redirects competition away from price/quality and toward bundled content, even when that content is unrelated to the procured item."
"P195","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM14","Rent extraction via offset requirements","Offset policy compels suppliers to transfer economic activity domestically, extracting rents from the price margin and enabling governments to pursue multiple objectives through procurement."
"P196","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM15","Flexibility reduces mandate diseconomies","Rigid, one-size mandates constrain negotiation and force offsets where market exchange would be superior, creating diseconomies of scale and scope; variable policies increase flexibility and reduce these losses."
"P197","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM16","Offsets justified in high-hazard exchanges","Offsets can substitute for poorly functioning markets in high-hazard exchanges and yield reputational or capability gains; imposing offsets in low-hazard contexts or misaligned with seller capabilities creates opportunity costs and raises costs."
"P198","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM17","Administrative burden and rent-seeking","Offset regimes can generate administrative burdens and rent-seeking, including proposal overload, superficial evaluation criteria, and discretionary behaviour that raises costs without improving transfer outcomes."
"P199","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM18","Objective ambiguity undermines evaluation","Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and determine net beneficiaries of mandated offsets."
"P200","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM19","Supplier coaching and reputational certification","Suppliers teach efficient routines to control costs and quality, and successful completion provides reputational certification that lowers domestic firms’ market-entry transaction costs."
"P201","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM20","Alliance incentives via offset waivers","Governments use bargaining power or offset waivers to encourage alliances, boosting investment and reputational capital while preserving competitive selection."
"P202","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM21","Market access conditioned on reciprocity","Requiring reciprocal activity as a condition of market access imposes trade-restricting requirements on exporters."
"P203","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM22","Offsets reveal local supplier capability","Local content requirements compel primes to search for and engage domestic suppliers, reducing information imperfections about local capability."
"P204","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM23","Sourcing persists only when viable","Offset-induced sourcing ends when obligations expire unless continued local production is economically worthwhile, so effects may be temporary."
"P205","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM24","Indirect offsets stimulate targeted exports","Indirect offsets that require exporter purchases act like sector-specific price adjustments, stimulating exports in targeted sectors."
"P206","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM25","Opacity enables price discrimination","Lower visibility of offset-related pricing permits price discrimination or dumping in world markets that would be harder under transparent pricing."
"P207","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM26","Buyback hostage aligns incentives","Buyback obligations make sellers responsible for absorbing output, aligning incentives to avoid transferring obsolete technology that would undermine buyback viability."
"P208","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM27","Depreciation drives tech licensing","As technologies depreciate, sellers are incentivized to license them via offsets to monetise value before it declines further."
"P209","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM28","Exporter networks reduce market entry costs","Large exporters’ established distribution networks lower market-penetration costs for buyer-country products compared to what domestic firms could achieve alone."
"P210","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM29","Bundled contracting reduces transaction costs","Offsets can be embedded in complex bundles that lower transaction costs and reallocate rents under market imperfections."
"P211","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM30","Second-best offsets distort allocation","Using offsets as substitutes for broader macro or trade reforms distorts resource allocation and locks in inefficient sector-specific fixes."
"P212","PM8","Transferability and contextual fit","Spillovers hinge on transferability and fit: military-origin skills/technologies often mismatch civilian contexts, and careful selection and implementation reduce adaptation failures and costs.","PM31","Labour rents drive opposition to offsets","Anticipated losses of employment and labour-market rents motivate unions to oppose offsets and seek regulation that limits production shifting."
"P213","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM10","Offsets as supplier differentiator","When core capability requirements are fixed, offset offers differentiate suppliers and influence selection."
"P214","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM11","Domestic industry influence on offsets","Domestic arms-industry influence shapes procurement demands, pushing governments to require direct offsets that effectively subsidize local military industry."
"P215","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM12","Development-oriented indirect offset design","Specifying development-oriented indirect offsets and emphasizing transparency increases the likelihood that promised activities are realized and development-relevant."
"P216","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM13","Offsets shift competition to bundled content","Requiring offset packages redirects competition away from price/quality and toward bundled content, even when that content is unrelated to the procured item."
"P217","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM14","Rent extraction via offset requirements","Offset policy compels suppliers to transfer economic activity domestically, extracting rents from the price margin and enabling governments to pursue multiple objectives through procurement."
"P218","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM15","Flexibility reduces mandate diseconomies","Rigid, one-size mandates constrain negotiation and force offsets where market exchange would be superior, creating diseconomies of scale and scope; variable policies increase flexibility and reduce these losses."
"P219","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM16","Offsets justified in high-hazard exchanges","Offsets can substitute for poorly functioning markets in high-hazard exchanges and yield reputational or capability gains; imposing offsets in low-hazard contexts or misaligned with seller capabilities creates opportunity costs and raises costs."
"P220","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM17","Administrative burden and rent-seeking","Offset regimes can generate administrative burdens and rent-seeking, including proposal overload, superficial evaluation criteria, and discretionary behaviour that raises costs without improving transfer outcomes."
"P221","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM18","Objective ambiguity undermines evaluation","Mixed objectives and unclear incidence of benefits make it difficult to specify evaluation criteria and determine net beneficiaries of mandated offsets."
"P222","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM19","Supplier coaching and reputational certification","Suppliers teach efficient routines to control costs and quality, and successful completion provides reputational certification that lowers domestic firms’ market-entry transaction costs."
"P223","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM20","Alliance incentives via offset waivers","Governments use bargaining power or offset waivers to encourage alliances, boosting investment and reputational capital while preserving competitive selection."
"P224","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM21","Market access conditioned on reciprocity","Requiring reciprocal activity as a condition of market access imposes trade-restricting requirements on exporters."
"P225","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM22","Offsets reveal local supplier capability","Local content requirements compel primes to search for and engage domestic suppliers, reducing information imperfections about local capability."
"P226","PM9","Barter eases constraints, reduces transparency","Barter arrangements relax financial constraints but reduce transparency, creating mutual advantage for supplier and buyer.","PM23","Sourcing persists only when viable","Offset-induced sourcing ends when obligations expire unless continued local production is economically worthwhile, so effects may be temporary."
