Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Jan-2026),Crossref citations (as of 24-Jan-2026)
The ratione temporis elements of self-defence,James A Green,Journal on the Use of Force and International Law,2,1,p97 - p118,2015,10.1080/20531702.2015.1043097,24-Jun-2015,https://doi.org/10.1080/20531702.2015.1043097,2275.0,4.0
NON-LINEARITY IN THE DEFENCE EXPENDITURE - ECONOMIC GROWTH RELATIONSHIP IN TAIWAN,"Sheng-Tung Chen, Chien-Chiang Lee",Defence and Peace Economics,18,6,p537 - p555,2007,10.1080/10242690601055762,30-Nov-2007,https://doi.org/10.1080/10242690601055762,344.0,16.0
Transatlantic Defence-industrial collaboration,William H IV Mott,The RUSI Journal,136,1,p58 - p65,1991,10.1080/03071849108445496,20-Mar-2008,https://doi.org/10.1080/03071849108445496,17.0,0.0
What are Governments in Central and Eastern Europe not Buying with their Defence Budgets? The Readiness Clue,Thomas-Durell Young,The RUSI Journal,164,2,p36 - p55,2019,10.1080/03071847.2019.1621481,30-May-2019,https://doi.org/10.1080/03071847.2019.1621481,617.0,3.0
European defence co-operation,Michael Quinlan,The RUSI Journal,146,2,p54 - p59,2001,10.1080/03071840108446629,20-Mar-2008,https://doi.org/10.1080/03071840108446629,56.0,0.0
Strategic Facts as a Comprehensive Model for Defence Analysis,Gintautas Razma,Defence Studies,23,2,p254 - p273,2023,10.1080/14702436.2022.2113516,24-Aug-2022,https://doi.org/10.1080/14702436.2022.2113516,2846.0,2.0
Defence Spending and Income Inequality. An Asymmetric Empirical Evidence from a Decomposition Analysis of Defence Spending in the Case of Greece,"Antonis Tsitouras, Nicholas Tsounis",Defence and Peace Economics,36,5,p726 - p760,2025,10.1080/10242694.2024.2407846,01-Oct-2024,https://doi.org/10.1080/10242694.2024.2407846,263.0,1.0
Civil society and the European common security and defence policy,"Matthias Dembinski, Jutta Joachim",European Security,23,4,p449 - p465,2014,10.1080/09662839.2014.890594,17-Mar-2014,https://doi.org/10.1080/09662839.2014.890594,1096.0,8.0
Lay understandings of defence mechanisms: The role of personality traits and gender,Adrian Furnham,"Psychology, Health & Medicine",17,6,p723 - p734,2012,10.1080/13548506.2012.663922,15-Mar-2012,https://doi.org/10.1080/13548506.2012.663922,2260.0,13.0
"The development, security, and defence nexus in Brazil","Raphael C Lima, Vinicius Mariano de Carvalho","Conflict, Security & Development",23,2,p93 - p103,2023,10.1080/14678802.2023.2225350,05-Jul-2023,https://doi.org/10.1080/14678802.2023.2225350,2359.0,0.0
British Defence-Acquisition Reform,Trevor Taylor,The RUSI Journal,159,1,p32 - p38,2014,10.1080/03071847.2014.895256,17-Mar-2014,https://doi.org/10.1080/03071847.2014.895256,833.0,0.0
Perspectives for the development of key industrial capabilities for Canada's defence sector,Yan Cimon,Defense & Security Analysis,33,4,p333 - p346,2017,10.1080/14751798.2017.1377422,19-Oct-2017,https://doi.org/10.1080/14751798.2017.1377422,1258.0,1.0
Strains and prospects in Defence procurement,Gavin Kennedy,The RUSI Journal,134,2,p45 - p50,1989,10.1080/03071848908445366,20-Mar-2008,https://doi.org/10.1080/03071848908445366,20.0,1.0
Countering autocratization: a roadmap for democratic defence,"Maurits J Meijers, Carolien van Ham, Joep van Lit",Democratization,31,4,p765 - p787,2024,10.1080/13510347.2023.2279677,14-Nov-2023,https://doi.org/10.1080/13510347.2023.2279677,6363.0,10.0
Co-chairing Asia-Pacific defence diplomacy: the case ASEAN Defence Ministers' Meeting Plus,"Nantasit Klaisringoen, Kaewkamol Pitakdumrongkit",Australian Journal of International Affairs,73,1,p64 - p81,2019,10.1080/10357718.2019.1568387,15-Jan-2019,https://doi.org/10.1080/10357718.2019.1568387,676.0,4.0
What Is Known About Defence Research And Development Spill-Overs?,Carlos Martí Sempere,Defence and Peace Economics,29,3,p225 - p246,2018,10.1080/10242694.2016.1239364,18-Oct-2016,https://doi.org/10.1080/10242694.2016.1239364,893.0,21.0
A systematic literature review of evidence for the use of assistive exoskeletons in defence and security use cases,"Nicola Armstrong, James Campbell, Dominic J Farris, David J Harris, Mark P Rayson, Hannah M Rice, Debbie Risius, Alistair Weare",Ergonomics,66,1,p61 - p87,2023,10.1080/00140139.2022.2059106,10-May-2022,https://doi.org/10.1080/00140139.2022.2059106,5014.0,22.0
Revisiting the drivers and conditions of South Korea's defense industry development,Bo Ram Kwon,Defence Studies,25,2,p342 - p360,2025,10.1080/14702436.2025.2472701,05-Mar-2025,https://doi.org/10.1080/14702436.2025.2472701,389.0,1.0
"Beyond LAVs: corruption, commercialization and the Canadian defence industry","Ellen Gutterman, Andrea Lane",Canadian Foreign Policy Journal,23,1,p77 - p92,2017,10.1080/11926422.2016.1254663,13-Dec-2016,https://doi.org/10.1080/11926422.2016.1254663,1779.0,5.0
Feeding the Lion: China and defence development in African states,Kenneth Boutin,Defense & Security Analysis,34,3,p232 - p248,2018,10.1080/14751798.2018.1500755,01-Aug-2018,https://doi.org/10.1080/14751798.2018.1500755,595.0,5.0
Harnessing the Power of Cyber Defence,"Peter Campbell, Michael J Donahoo",Survival,66,2,p127 - p142,2024,10.1080/00396338.2024.2332065,28-Mar-2024,https://doi.org/10.1080/00396338.2024.2332065,421.0,0.0
An intervention study examining the effects of condom wrapper graphics and scent on condom use in the Botswana Defence Force,"Christina Chambers, Mooketsi Ditsela, Richard Haubrich, David Kelapile, Robert Phetogo, Richard Shaffer, Anne Goldzier Thomas, Bonnie Robin Tran, Florin Vaida",AIDS Care,26,7,p890 - p898,2014,10.1080/09540121.2013.860420,22-Nov-2013,https://doi.org/10.1080/09540121.2013.860420,188.0,5.0
Does defence spending matter to employment in Taiwan?,"JR-TSUNG HUANG, AN-PANG KAO",Defence and Peace Economics,16,2,p101 - p115,2005,10.1080/10242690500070094,29-Jul-2006,https://doi.org/10.1080/10242690500070094,344.0,28.0
Cyber warfare and autonomous self-defence,"Francis Grimal, Jae Sundaram",Journal on the Use of Force and International Law,4,2,p312 - p343,2017,10.1080/20531702.2017.1338877,23-Jun-2017,https://doi.org/10.1080/20531702.2017.1338877,1560.0,1.0
"'Rentrée dans le rang?' France, NATO and the EU, from the Védrine report to the 2013 French White Paper on national security and defence",Guillaume Lasconjarias,Journal of Transatlantic Studies,12,4,p418 - p431,2014,10.1080/14794012.2014.962735,02-Dec-2014,https://doi.org/10.1080/14794012.2014.962735,255.0,3.0
Defence procurement in Britain,J Moray Stewart,The RUSI Journal,133,4,p43 - p47,1988,10.1080/03071848808445328,20-Mar-2008,https://doi.org/10.1080/03071848808445328,33.0,2.0
"Defence industries adjusting to change
                  1",Keith Hartley,Defence and Peace Economics,7,2,p169 - p184,1996,10.1080/10430719608404849,19-Oct-2007,https://doi.org/10.1080/10430719608404849,45.0,1.0
A New Debt Burden for Spain's Defence Planning,Guillem Colom-Piella,The RUSI Journal,164,7,p32 - p41,2019,10.1080/03071847.2019.1700685,16-Dec-2019,https://doi.org/10.1080/03071847.2019.1700685,386.0,2.0
Clustering in defence-related procurement: the case of a Belgian naval construction cluster,"C Peeters, R Pilon",Defense & Security Analysis,36,2,p218 - p233,2020,10.1080/14751798.2020.1750185,17-Apr-2020,https://doi.org/10.1080/14751798.2020.1750185,262.0,1.0
A survey of performance issues in defence innovation,Carlos Martí Sempere,Defence and Peace Economics,28,3,p319 - p343,2017,10.1080/10242694.2015.1072377,06-Aug-2015,https://doi.org/10.1080/10242694.2015.1072377,1036.0,18.0
Japan's defence industrial strategy and fighter aircraft production: striving for tier-one status and the GCAP Project,Christopher W Hughes,Defence Studies,25,2,p279 - p300,2025,10.1080/14702436.2025.2472700,05-Mar-2025,https://doi.org/10.1080/14702436.2025.2472700,3171.0,2.0
Cooperation and non cooperation in European defence procurement,Antonio Calcara,Journal of European Integration,42,6,p799 - p815,2020,10.1080/07036337.2019.1682567,22-Oct-2019,https://doi.org/10.1080/07036337.2019.1682567,2525.0,33.0
Exploring the speed of change: European defence budgets in an age of danger,"Caroline Buts, Edward Hunter Christie, Cind Du Bois",Defense & Security Analysis,40,3,p319 - p340,2024,10.1080/14751798.2024.2361513,08-Jul-2024,https://doi.org/10.1080/14751798.2024.2361513,543.0,4.0
"The relationship between national, unit and personal self-defence in international law: bridging the disconnect",Chris O'Meara,Journal on the Use of Force and International Law,4,2,p273 - p311,2017,10.1080/20531702.2017.1313525,12-Apr-2017,https://doi.org/10.1080/20531702.2017.1313525,679.0,1.0
"US defence policy under Obama: trajectories in budgets, military deployments and force structures",Marco Overhaus,Global Affairs,2,1,p47 - p55,2016,10.1080/23340460.2016.1159843,21-Mar-2016,https://doi.org/10.1080/23340460.2016.1159843,325.0,1.0
European defence-industrial cooperation: from Keynes to Clausewitz,Daniel Fiott,Global Affairs,1,2,p159 - p167,2015,10.1080/23340460.2015.1032157,02-Jun-2015,https://doi.org/10.1080/23340460.2015.1032157,2023.0,10.0
The Guns of Europe: Defence-industrial Challenges in a Time of War,"Hannah Aries, Bastian Giegerich, Tim Lawrenson",Survival,65,3,p7 - p24,2023,10.1080/00396338.2023.2218716,08-Jun-2023,https://doi.org/10.1080/00396338.2023.2218716,4348.0,12.0
The future of the defence firm: the case of the UK aerospace industry,IAN JACKSON,Defence and Peace Economics,15,6,p519 - p534,2004,10.1080/1024269042000246675,25-Jan-2007,https://doi.org/10.1080/1024269042000246675,705.0,8.0
The problem of Defence Intelligence,Philip H J Davies,Intelligence and National Security,31,6,p797 - p809,2016,10.1080/02684527.2015.1115234,12-Feb-2016,https://doi.org/10.1080/02684527.2015.1115234,3346.0,7.0
United States national missile defence,Michael Quinlan,The RUSI Journal,146,1,p39 - p42,2001,10.1080/03071840108446607,20-Mar-2008,https://doi.org/10.1080/03071840108446607,42.0,0.0
Cooperative Procurement in Building National Defence: Why Are There So Few?,"Vesa Kanniainen, Juha-Matti Lehtonen",Defence and Peace Economics,31,2,p201 - p219,2020,10.1080/10242694.2018.1471320,09-May-2018,https://doi.org/10.1080/10242694.2018.1471320,614.0,0.0
An analysis of defence spending in Spain: A long-run approach*,"María-Dolores Gadea, Antonio Montañes",Defence and Peace Economics,12,5,p369 - p393,2001,10.1080/10430710108404995,19-Oct-2007,https://doi.org/10.1080/10430710108404995,98.0,7.0
Small countries and the consolidation of the European defence industry: Portugal as a case study,Carlos Pestana Barros,Defence and Peace Economics,13,4,p311 - p319,2002,10.1080/10242690212359,17-Sep-2010,https://doi.org/10.1080/10242690212359,808.0,18.0
"A Revolution Too Far? US Defence Innovation, Europe and NATO's Military-Technological Gap",Daniel Fiott,Journal of Strategic Studies,40,3,p417 - p437,2017,10.1080/01402390.2016.1176565,01-May-2016,https://doi.org/10.1080/01402390.2016.1176565,4071.0,16.0
British Defence Policy,"Carrington, Napier in The Chair Crookenden",The RUSI Journal,118,3,p3 - p10,1973,10.1080/03071847309419227,11-Sep-2009,https://doi.org/10.1080/03071847309419227,30.0,0.0
"Trans-Tasman Liaison: Australasian Defence Co-ordination and the New Zealand Military Liaison Offices in Australia, 1932-48",Daniel Leach,The Journal of Imperial and Commonwealth History,50,2,p383 - p416,2022,10.1080/03086534.2021.2020408,07-Jan-2022,https://doi.org/10.1080/03086534.2021.2020408,266.0,0.0
Missile defence in a new strategic environment: The view from whitehall,Lord Bach,The RUSI Journal,147,6,p70 - p71,2002,10.1080/03071840208446837,20-Mar-2008,https://doi.org/10.1080/03071840208446837,35.0,0.0
Defending Australia in the digital age: toward full spectrum defence,Jai Galliott,Defence Studies,16,2,p157 - p175,2016,10.1080/14702436.2016.1165596,08-Apr-2016,https://doi.org/10.1080/14702436.2016.1165596,1414.0,3.0
Allocating the U.S. Department of Defense Budget: Revisiting the 'Incremental/Fair Share Model',Hiroyuki Seki,Defence and Peace Economics,30,6,p719 - p732,2019,10.1080/10242694.2017.1419402,25-Dec-2017,https://doi.org/10.1080/10242694.2017.1419402,1278.0,0.0
Great expectations: Russian defence conversion†,"Jordin S Cohen, Michael D Ward",Defence and Peace Economics,9,4,p381 - p394,1998,10.1080/10430719808404911,19-Oct-2007,https://doi.org/10.1080/10430719808404911,48.0,0.0
Shifting international perspectives on missile Defence,Nick Witney,The RUSI Journal,148,6,p38 - p40,2003,10.1080/03071840308446944,20-Mar-2008,https://doi.org/10.1080/03071840308446944,33.0,0.0
Firm Performance in Regulated Markets: The Case of Spanish Defence Industry,"Francisco J Callado-Muñoz, Jana Hromcová, Marcos Sanso-Navarro, Natalia Utrero-González, María Vera-Cabello",Defence and Peace Economics,33,2,p201 - p218,2022,10.1080/10242694.2020.1783622,22-Jun-2020,https://doi.org/10.1080/10242694.2020.1783622,330.0,6.0
Defence industrial restructuring in Europe,Ian Anthony,Defence and Peace Economics,6,3,p185 - p205,1995,10.1080/10430719508404825,19-Oct-2007,https://doi.org/10.1080/10430719508404825,40.0,1.0
The insanity defence: from wild beasts to M'Naghten,"Stephen Allnutt, Colman O'Driscoll, Anthony Samuels",Australasian Psychiatry,15,4,p292 - p298,2007,10.1080/10398560701352181,06-Jul-2009,https://doi.org/10.1080/10398560701352181,87.0,2.0
An appraisal of the Philippines' self-reliant defence posture under the Duterte administration,"Julio S III Amador, Deryk Matthew N Baladjay",Defense & Security Analysis,,,p1 - p31,5187,10.1080/14751798.2025.2555786,15-Sep-2025,https://doi.org/10.1080/14751798.2025.2555786,134.0,0.0
"Institutionalised cooperation and policy convergence in European defence: lessons from the relations between France, Germany and the UK","Alice Pannier, Olivier Schmitt",European Security,23,3,p270 - p289,2014,10.1080/09662839.2014.884073,24-Feb-2014,https://doi.org/10.1080/09662839.2014.884073,2306.0,23.0
Planning defence budget allocations for Canada's Strategy 2020,J CRAIG STONE,Defence and Peace Economics,16,3,p223 - p246,2005,10.1080/10242690500123257,22-Aug-2006,https://doi.org/10.1080/10242690500123257,419.0,5.0
"The United States, the People's Republic of China, and the Defence of Taiwan","Peter Lyon, Michael Roi",Diplomacy & Statecraft,35,3,p589 - p604,2024,10.1080/09592296.2024.2382998,23-Oct-2024,https://doi.org/10.1080/09592296.2024.2382998,363.0,0.0
Controlling the defense policy process in Canada: White papers on defense and bureaucratic politics in the department of national defence,Douglas L Bland,Defense Analysis,5,1,p3 - p17,1989,10.1080/07430178908405374,19-Oct-2007,https://doi.org/10.1080/07430178908405374,103.0,1.0
Patterns of isolationism: a quantitative assessment of Italy's defence and foreign policy from government alternation to 'grand coalitions',Francesco Olmastroni,Contemporary Italian Politics,6,3,p285 - p299,2014,10.1080/23248823.2014.966506,07-Oct-2014,https://doi.org/10.1080/23248823.2014.966506,255.0,4.0
Issues Influencing European and UK Attitudes to Missile Defence,Michael Rance,The RUSI Journal,150,2,p34 - p38,2005,10.1080/03071840509441966,30-Oct-2009,https://doi.org/10.1080/03071840509441966,66.0,0.0
Country Survey XV: Defence Policy and Spending in Belgium,Wally Struys,Defence and Peace Economics,13,1,p31 - p53,2002,10.1080/10242690210962,17-Sep-2010,https://doi.org/10.1080/10242690210962,138.0,6.0
Visualising defence and war in economic history journals (1989-2018),"Nadia Fernández-De-Pinedo, Félix-Fernando Muñoz",Scandinavian Economic History Review,67,3,p283 - p311,2019,10.1080/03585522.2019.1615982,21-May-2019,https://doi.org/10.1080/03585522.2019.1615982,382.0,3.0
A defence model for the Baltic states,"Bengt Andersson, Lars Wallin",European Security,10,1,p94 - p106,2001,10.1080/09662830108407484,19-Oct-2007,https://doi.org/10.1080/09662830108407484,179.0,1.0
Evolution of Moroccan defence diplomacy,Ahmed el Morabety,Contemporary Arab Affairs,10,2,p241 - p255,2017,10.1080/17550912.2017.1279387,03-Feb-2017,https://doi.org/10.1080/17550912.2017.1279387,145.0,1.0
Forever air wars and the lawful purpose of self-defence,Mary Ellen O'Connell,Journal on the Use of Force and International Law,9,1,p33 - p54,2022,10.1080/20531702.2022.2029020,26-Jan-2022,https://doi.org/10.1080/20531702.2022.2029020,705.0,1.0
Australia's Next Defence White Paper,Andrew Davies,The RUSI Journal,157,5,p72 - p77,2012,10.1080/03071847.2012.733115,19-Oct-2012,https://doi.org/10.1080/03071847.2012.733115,470.0,0.0
"Illusive Visions and Practical Realities: Russia, NATO and Missile Defence",Richard Weitz,Survival,52,4,p99 - p120,2010,10.1080/00396338.2010.506824,21-Jul-2010,https://doi.org/10.1080/00396338.2010.506824,1585.0,6.0
Risks in Defence Procurement: India in the 21st Century,Oishee Kundu,Defence and Peace Economics,32,3,p343 - p361,2021,10.1080/10242694.2019.1646443,24-Jul-2019,https://doi.org/10.1080/10242694.2019.1646443,918.0,3.0
The 1974 defence review in perspective,David Greenwood,Survival,17,5,p223 - p229,1975,10.1080/00396337508441566,03-Mar-2008,https://doi.org/10.1080/00396337508441566,36.0,2.0
Defence privatisation: From state enterprise to commercialism,Martin Edmonds,Cambridge Review of International Affairs,13,1,p114 - p129,1999,10.1080/09557579908400277,13-Sep-2007,https://doi.org/10.1080/09557579908400277,426.0,7.0
GKN Defence-A history in the making,Mike Docherty,The RUSI Journal,137,3,p27 - p32,1992,10.1080/03071849208445601,20-Mar-2008,https://doi.org/10.1080/03071849208445601,11.0,0.0
Understanding Greece's policy in the European Defence Agency: between national interest and domestic politics,Nikolaos Karampekios,Southeast European and Black Sea Studies,15,1,p37 - p52,2015,10.1080/14683857.2015.1007750,27-Feb-2015,https://doi.org/10.1080/14683857.2015.1007750,383.0,3.0
Defence and climate change: An introduction,Matt McDonald,Contemporary Security Policy,,,p1 - p17,5187,10.1080/13523260.2025.2583233,17-Nov-2025,https://doi.org/10.1080/13523260.2025.2583233,449.0,0.0
The nature of the self-defence proportionality requirement,Sina Etezazian,Journal on the Use of Force and International Law,3,2,p260 - p289,2016,10.1080/20531702.2016.1208901,25-Jul-2016,https://doi.org/10.1080/20531702.2016.1208901,2488.0,0.0
The Italian White Paper for International Security and Defence,"Andrea Gilli, Alessandro Marrone, Alessandro R Ungaro",The RUSI Journal,160,6,p34 - p41,2015,10.1080/03071847.2015.1122978,23-Dec-2015,https://doi.org/10.1080/03071847.2015.1122978,6230.0,8.0
"THE LONG-RUN LINKAGES BETWEEN EDUCATION, HEALTH AND DEFENCE EXPENDITURES AND ECONOMIC GROWTH: EVIDENCE FROM TURKEY","Kadir Yasin Eryigit, Sibel Bali Eryigit, Ufuk Selen",Defence and Peace Economics,23,6,p559 - p574,2012,10.1080/10242694.2012.663577,24-May-2012,https://doi.org/10.1080/10242694.2012.663577,1013.0,32.0
Networked politics and the supply of European defence integration,"Felix Biermann, Moritz Weiss",Journal of European Public Policy,29,6,p910 - p931,2022,10.1080/13501763.2021.1916057,23-Apr-2021,https://doi.org/10.1080/13501763.2021.1916057,898.0,11.0
Are there Bubbles in the Defence Sector of China's Stock Market (2005-2016)? New Evidence from Sequential ADF Tests,"Jiaxin Xu, Ling Zhai, Ying Zhang",Defence and Peace Economics,31,1,p105 - p119,2020,10.1080/10242694.2018.1428857,13-Feb-2018,https://doi.org/10.1080/10242694.2018.1428857,526.0,6.0
The affordability of defence equipment,David Kirkpatrick,The RUSI Journal,142,3,p58 - p80,1997,10.1080/03071849708446151,20-Mar-2008,https://doi.org/10.1080/03071849708446151,202.0,7.0
The fulcrum of democratic civilian control: Re-imagining the role of defence ministries,"Anit Mukherjee, David Pion-Berlin",Journal of Strategic Studies,45,6-7,p783 - p797,2022,10.1080/01402390.2022.2127094,29-Sep-2022,https://doi.org/10.1080/01402390.2022.2127094,2685.0,5.0
The development of Anglo-French relations in defence equipment,Marcel Benichou,The RUSI Journal,134,4,p55 - p57,1989,10.1080/03071848908445403,20-Mar-2008,https://doi.org/10.1080/03071848908445403,13.0,0.0
Defence modernisation vs. procurement procedures: a case study of India's Project-75i submarine programme,Rahul Manohar Yelwe,Defense & Security Analysis,,,p1 - p28,5187,10.1080/14751798.2025.2585633,20-Nov-2025,https://doi.org/10.1080/14751798.2025.2585633,81.0,0.0
Special issue: defence inflation,"Keith Hartley, Binyam Solomon",Defence and Peace Economics,27,2,p172 - p175,2016,10.1080/10242694.2015.1123464,09-Jan-2016,https://doi.org/10.1080/10242694.2015.1123464,3270.0,6.0
The nexus between asylum seekers and defence spending in European NATO member states: a quantitative study of securitisation dynamics,Daphné Charotte,Defence Studies,24,2,p210 - p233,2024,10.1080/14702436.2023.2296893,28-Dec-2023,https://doi.org/10.1080/14702436.2023.2296893,1689.0,1.0
"Thinking about defence intelligence: Victor Cavendish-Bentinck, Denis Capel-Dunn, Kenneth Strong and the Joint Intelligence Bureau as foundation for the Defence Intelligence Staff",Huw Dylan,Intelligence and National Security,31,6,p829 - p843,2016,10.1080/02684527.2015.1115237,07-Jan-2016,https://doi.org/10.1080/02684527.2015.1115237,946.0,1.0
Cybersecurity and cyber defence in the emerging democracies,Carlos Solar,Journal of Cyber Policy,5,3,p392 - p412,2020,10.1080/23738871.2020.1820546,02-Nov-2020,https://doi.org/10.1080/23738871.2020.1820546,12262.0,18.0
Defence and the Treasury,D J L Moore,Whitehall Papers,18,1,p13 - p23,1993,10.1080/02681309309414898,04-Jun-2009,https://doi.org/10.1080/02681309309414898,10.0,0.0
UK defence policy 1957-2015: the illusion of choice,Gary Blackburn,Defence Studies,15,2,p85 - p104,2015,10.1080/14702436.2015.1033849,05-May-2015,https://doi.org/10.1080/14702436.2015.1033849,1616.0,7.0
"Face to face: France, Germany and the future of the European defence industry","Antonio Calcara, Luis Simón",Journal of European Public Policy,32,6,p1389 - p1413,2025,10.1080/13501763.2024.2358112,02-Jun-2024,https://doi.org/10.1080/13501763.2024.2358112,8044.0,8.0
Defence sector and military cooperation between Turkey and the Central Asian Republics: limitations and prospects amidst intensified regional and global rivalry,"Gökhan Batu, Göktuğ Sönmez",Defense & Security Analysis,40,4,p540 - p558,2024,10.1080/14751798.2024.2404334,30-Sep-2024,https://doi.org/10.1080/14751798.2024.2404334,437.0,2.0
Triggering Critical Mass: Identifying the Factors for a Successful Defence Transformation,Laura R Cleary,Defence Studies,11,1,p43 - p65,2011,10.1080/14702436.2011.553103,08-Apr-2011,https://doi.org/10.1080/14702436.2011.553103,328.0,4.0
"Margaret Thatcher's First U-Turn: Francis Pym and the Control of Defence Spending, 1979-81",Edward Hampshire,Contemporary British History,29,3,p359 - p379,2015,10.1080/13619462.2014.974566,03-Nov-2014,https://doi.org/10.1080/13619462.2014.974566,1229.0,2.0
Raising the risks of war: defence spending trends and competitive arms processes in East Asia,"Robert Hartfiel, Brian L Job",The Pacific Review,20,1,p1 - p22,2007,10.1080/09512740601133138,02-Mar-2007,https://doi.org/10.1080/09512740601133138,1036.0,13.0
THE DEFENCE SPENDING-EXTERNAL DEBT NEXUS IN ETHIOPIA,Yemane Wolde-Rufael,Defence and Peace Economics,20,5,p423 - p436,2009,10.1080/03066150902868171,22-Oct-2009,https://doi.org/10.1080/03066150902868171,491.0,31.0
Why the Saudi Arabian Defence Binge?,David S Sorenson,Contemporary Security Policy,35,1,p116 - p137,2014,10.1080/13523260.2014.884340,07-Mar-2014,https://doi.org/10.1080/13523260.2014.884340,1568.0,4.0
Country survey XVIII: The two Koreas' defence economy,Jun Sik Bae,Defence and Peace Economics,14,1,p61 - p83,2003,10.1080/10242690302934,17-Sep-2010,https://doi.org/10.1080/10242690302934,175.0,5.0
Making arms in India? Examining New Delhi's renewed drive for defence-industrial indigenization,"Brendon J Cannon, Ash Rossiter",Defence Studies,19,4,p353 - p372,2019,10.1080/14702436.2019.1685880,30-Oct-2019,https://doi.org/10.1080/14702436.2019.1685880,1130.0,9.0
The economics of UK defence policy in the 1990s,"Keith Hartley, Nick Hooper, Steve Martin, John Singleton",The RUSI Journal,135,2,p49 - p54,1990,10.1080/03071849008445438,20-Mar-2008,https://doi.org/10.1080/03071849008445438,34.0,0.0
DEFENCE PERSPECTIVES,"Bob Ainsworth, Menzies Campbell, Malcolm Rifkind",The RUSI Journal,156,1,p6 - p11,2011,10.1080/03071847.2011.559968,25-Feb-2011,https://doi.org/10.1080/03071847.2011.559968,275.0,0.0
Great Power Competition in Defence Technology - What Can the Asia-pacific Offer for the Gulf?,Erzsébet N Rózsa,Asian Journal of Middle Eastern and Islamic Studies,,,p1 - p18,5187,10.1080/25765949.2025.2588109,07-Dec-2025,https://doi.org/10.1080/25765949.2025.2588109,38.0,0.0
Japan's defence problematique,Barry Buzan,The Pacific Review,8,1,p25 - p43,1995,10.1080/09512749508719124,03-Apr-2007,https://doi.org/10.1080/09512749508719124,194.0,6.0
Defence procurement: A European identity?,Ron Smith,The RUSI Journal,137,1,p42 - p48,1992,10.1080/03071849208445570,20-Mar-2008,https://doi.org/10.1080/03071849208445570,16.0,4.0
Defence specific inflation: A Canadian perspective,Binyam Solomon,Defence and Peace Economics,14,1,p19 - p36,2003,10.1080/10242690302935,17-Sep-2010,https://doi.org/10.1080/10242690302935,278.0,10.0
Escaping from predators: a review of Neotropical lizards defence traits,"Reuber Albuquerque Brandão, Julia Klaczko, Rogério B Miranda, João F R Tonini",Ethology Ecology & Evolution,35,4,p377 - p407,2023,10.1080/03949370.2022.2082538,09-Aug-2022,https://doi.org/10.1080/03949370.2022.2082538,1010.0,7.0
Defence Manpower Studies†,A R Smith,Journal of the Operational Research Society,19,3,p257 - p273,1968,10.1057/jors.1968.70,19-Dec-2017,https://doi.org/10.1057/jors.1968.70,4.0,3.0
The next great challenges in systems thinking: a defence perspective,David Oxenham,Civil Engineering and Environmental Systems,27,3,p231 - p241,2010,10.1080/10286608.2010.482661,11-Aug-2010,https://doi.org/10.1080/10286608.2010.482661,502.0,6.0
Back to the future? Nordic total defence concepts,James Kenneth Wither,Defence Studies,20,1,p61 - p81,2020,10.1080/14702436.2020.1718498,26-Jan-2020,https://doi.org/10.1080/14702436.2020.1718498,5022.0,66.0
Do defence styles and approaches to learning 'fit together' in students' profiles? Differences between years of study,"Spiridon Kamtsios, Evangelia Karagiannopoulou, Fotios S Milienos, Christos Rentzios",Educational Psychology,40,5,p570 - p591,2020,10.1080/01443410.2019.1600661,26-Apr-2019,https://doi.org/10.1080/01443410.2019.1600661,549.0,15.0
An analysis of pre-attack self-defence doctrines through a risk-based lens,Toby Fenton,Journal on the Use of Force and International Law,11,1-2,p108 - p141,2024,10.1080/20531702.2024.2418211,26-Oct-2024,https://doi.org/10.1080/20531702.2024.2418211,330.0,0.0
THE LONG-RUN RELATIONSHIP BETWEEN DEFENCE EXPENDITURES AND GDP IN TAIWAN,"Chun-Ping Chang, Chien-Chiang Lee",Defence and Peace Economics,17,4,p361 - p385,2006,10.1080/10242690600612738,23-Aug-2006,https://doi.org/10.1080/10242690600612738,399.0,13.0
FROM CONSCRIPTION TO VOLUNTEERS: BUDGET SHARES IN NATO DEFENCE SPENDING,"Vincenzo Bove, Elisa Cavatorta",Defence and Peace Economics,23,3,p273 - p288,2012,10.1080/10242694.2011.563973,04-May-2011,https://doi.org/10.1080/10242694.2011.563973,1206.0,29.0
UK strategic choices following the strategic defence review & 11thSeptember,Michael GCB OBE ADC Boyce,The RUSI Journal,147,1,p1 - p7,2002,10.1080/03071840208446730,20-Mar-2008,https://doi.org/10.1080/03071840208446730,94.0,0.0
In defence of the Baltic Sea region: (non-)allied policy responses to the exogenous shock of the Ukraine crisis,Alexandra M Friede,European Security,31,4,p517 - p539,2022,10.1080/09662839.2022.2031990,07-Feb-2022,https://doi.org/10.1080/09662839.2022.2031990,1893.0,9.0
"Modernizing or equalizing? Defence budget and military modernization in the Philippines, 2010 - 2020","Julio S III Amador, Deryk Matthew Baladjay, Sheena Valenzuela",Defence Studies,22,3,p299 - p326,2022,10.1080/14702436.2022.2030713,31-Jan-2022,https://doi.org/10.1080/14702436.2022.2030713,931.0,2.0
The US defence industry: Open or shut to foreign competition?,Gary J Pagliano,The RUSI Journal,139,1,p52 - p55,1994,10.1080/03071849408445787,20-Mar-2008,https://doi.org/10.1080/03071849408445787,14.0,0.0
